sample_id,tw_inner_mm,a_min_nominal_mm,b_rib_mm,N_channels,a_throat_actual_mm,a1_chamber_mm,a2_exit_mm,h_min_throat_mm,h1_chamber_mm,h2_exit_mm,AR_chamber,AR_throat,AR_exit,t_jacket_mm,t_total_mm
sample_001,3.0,3.0,3.0,68,3.0179,9.766,29.9616,13.0,14.649,29.9616,1.5,4.308,1.0,4.0,20.0
sample_002,0.5,3.0,3.0,68,3.0179,9.766,29.9616,15.5,14.649,29.9616,1.5,5.136,1.0,4.0,20.0
sample_003,0.5,3.0,0.8,107,3.0245,7.313,20.1476,6.049,3.6565,6.0443,0.5,2.0,0.3,13.45,20.0
sample_004,3.0,0.8,3.0,107,0.8245,5.113,17.9476,6.5959,7.6694,17.9476,1.5,8.0,1.0,10.4,20.0
sample_005,3.0,3.0,0.8,107,3.0245,7.313,20.1476,13.0,10.9694,20.1476,1.5,4.298,1.0,4.0,20.0
sample_006,0.9026,2.7611,1.3815,98,2.7942,7.4765,21.4898,15.0974,9.8128,20.0593,1.312,5.403,0.933,4.0,20.0
sample_007,1.3573,1.5028,2.0198,116,1.508,5.4637,17.3025,4.5733,4.8652,15.1151,0.89,3.033,0.874,14.07,20.0
sample_008,1.0609,1.6098,2.6169,96,1.6458,6.4256,20.7309,12.1584,7.9393,6.8092,1.236,7.388,0.328,6.78,20.0
sample_009,1.5884,2.8098,1.9556,85,2.8588,8.2572,24.4137,13.9226,5.3017,22.3583,0.642,4.87,0.916,4.49,20.0
sample_010,0.5695,2.5961,2.5272,79,2.6528,8.4613,25.8449,6.4473,7.8819,14.0392,0.932,2.43,0.543,12.98,20.0
sample_011,2.9493,2.1473,0.8062,138,2.1592,5.4843,15.4358,9.777,6.5436,6.9931,1.193,4.528,0.453,7.27,20.0
sample_012,0.7861,2.2347,2.9658,78,2.2806,8.1635,25.77,14.3975,6.0529,12.378,0.741,6.313,0.48,4.82,20.0
sample_013,2.5041,1.8424,1.0093,143,1.8523,5.0612,14.6647,11.0308,3.3014,10.2711,0.652,5.955,0.7,6.47,20.0
sample_014,2.121,1.1564,1.3282,164,1.1671,3.965,12.3388,7.7147,5.6068,8.0802,1.414,6.61,0.655,10.16,20.0
sample_015,2.3237,2.5063,1.063,114,2.5266,6.5518,18.5983,13.6763,6.915,18.4834,1.055,5.413,0.994,4.0,20.0
sample_016,2.7853,1.4325,1.5853,135,1.446,4.845,15.0176,7.6461,4.866,5.5225,1.004,5.288,0.368,9.57,20.0
sample_017,1.6981,0.9163,1.7485,153,0.9262,3.9253,12.9011,3.8953,4.432,10.0089,1.129,4.206,0.776,14.41,20.0
sample_018,1.4849,2.9916,1.5541,90,2.9928,8.0913,23.3503,14.5151,7.8813,18.5124,0.974,4.85,0.793,4.0,20.0
sample_019,1.9953,2.4393,1.1912,112,2.4626,6.5596,18.8213,5.4236,9.5456,7.1798,1.455,2.202,0.381,12.58,20.0
sample_020,0.7214,2.0535,2.8333,83,2.0971,7.6256,24.1714,7.2157,6.1828,13.9092,0.811,3.441,0.575,12.06,20.0
sample_021,1.7867,1.3354,2.3645,110,1.3557,5.5272,18.0118,3.5464,4.2876,10.9154,0.776,2.616,0.606,14.67,20.0
sample_022,2.7437,0.8277,2.742,114,0.8477,4.8728,16.9194,3.429,2.8107,7.0319,0.577,4.045,0.416,13.83,20.0
sample_023,1.2236,1.7087,2.3324,101,1.7192,6.2625,19.8596,6.2611,8.7101,12.7784,1.391,3.642,0.643,12.52,20.0
sample_024,2.1483,1.046,2.1614,127,1.0608,4.6739,15.4874,5.7322,5.9065,11.3785,1.264,5.404,0.735,12.12,20.0
sample_025,2.421,1.9972,1.8502,106,2.0104,6.3393,19.295,13.579,3.1914,16.3158,0.503,6.754,0.846,4.0,20.0
sample_026,0.5679,1.7353,2.812,89,1.786,6.9418,22.3722,10.1974,7.657,13.5287,1.103,5.71,0.605,9.23,20.0
sample_027,1.1467,2.8973,1.7408,88,2.9095,8.1239,23.7296,6.6411,5.109,16.9727,0.629,2.283,0.715,12.21,20.0
sample_028,0.8246,2.3279,0.8119,130,2.336,5.8657,16.4296,12.321,7.4168,4.9889,1.264,5.275,0.304,6.85,20.0
sample_029,1.4322,1.0854,2.8951,102,1.1169,5.6156,19.0793,3.7898,4.9011,7.2889,0.873,3.393,0.382,14.78,20.0
sample_030,0.984,2.6362,2.7485,75,2.7078,8.826,27.1367,6.762,5.1598,24.8573,0.585,2.497,0.916,12.25,20.0
sample_031,2.3009,1.9821,2.2305,97,1.9883,6.7189,20.8767,7.5351,5.5893,18.6794,0.832,3.79,0.895,10.16,20.0
sample_032,1.9712,2.7017,2.4577,79,2.7223,8.5307,25.9143,14.0288,10.1264,25.5166,1.187,5.153,0.985,4.0,20.0
sample_033,0.738,2.1427,1.8553,102,2.1567,6.6554,20.1191,11.7551,9.8453,11.4088,1.479,5.451,0.567,7.51,20.0
sample_034,1.1234,2.4808,2.5939,80,2.5214,8.2572,25.4235,12.2472,4.331,15.6474,0.525,4.857,0.615,6.63,20.0
sample_035,1.695,2.0932,0.9156,136,2.0934,5.4674,15.5652,14.305,5.6866,5.3849,1.04,6.833,0.346,4.0,20.0
sample_036,2.9235,1.5125,1.4802,136,1.5288,4.9028,15.0006,11.6599,6.8673,12.753,1.401,7.627,0.85,5.42,20.0
sample_037,2.4316,2.8167,2.2197,81,2.8324,8.4974,25.4518,13.5684,6.1931,12.6433,0.729,4.79,0.497,4.0,20.0
sample_038,1.5979,1.2391,1.343,158,1.247,4.1512,12.843,3.3613,4.5455,8.3748,1.095,2.696,0.652,15.04,20.0
sample_039,2.0815,0.8578,2.3936,125,0.8802,4.5511,15.5375,5.3435,4.1724,8.0232,0.917,6.071,0.516,12.57,20.0
sample_040,2.1959,1.0002,2.0902,132,1.0099,4.4862,14.89,4.1077,5.9313,10.7831,1.322,4.067,0.724,13.7,20.0
sample_041,2.8642,1.4462,1.9684,119,1.4704,5.3265,16.8668,4.3833,3.7203,12.9148,0.698,2.981,0.766,12.75,20.0
sample_042,2.7154,1.2964,1.0523,174,1.2995,3.9367,11.8293,5.7519,3.8719,9.3895,0.984,4.426,0.794,11.53,20.0
sample_043,1.8405,2.4129,1.4247,106,2.4358,6.7648,19.7205,10.1395,5.3402,8.8762,0.789,4.163,0.45,8.02,20.0
sample_044,2.5981,1.6515,1.5747,126,1.673,5.3148,16.2141,12.9026,7.4045,6.7091,1.393,7.712,0.414,4.5,20.0
sample_045,1.2757,1.869,1.2235,132,1.8767,5.3529,15.7568,13.3456,6.4833,15.0291,1.211,7.111,0.954,5.38,20.0
sample_046,2.2804,1.6145,1.7837,120,1.6264,5.4503,16.8945,12.8804,5.2578,5.9286,0.965,7.919,0.351,4.84,20.0
sample_047,2.0173,0.8522,2.6547,116,0.8731,4.8288,16.6676,2.6649,5.0074,10.7999,1.037,3.052,0.648,15.32,20.0
sample_048,1.7606,1.3266,2.5212,106,1.3394,5.6683,18.624,7.2898,6.5908,12.2662,1.163,5.443,0.659,10.95,20.0
sample_049,1.6613,2.8608,2.205,80,2.9102,8.646,25.8123,12.567,5.6726,24.8364,0.656,4.318,0.962,5.77,20.0
sample_050,2.5037,2.2647,2.8177,80,2.2975,8.0333,25.1997,13.4963,7.4865,18.6108,0.932,5.874,0.739,4.0,20.0
sample_051,0.8288,0.9459,0.8799,224,0.947,2.9955,9.1263,2.7277,3.4205,3.8153,1.142,2.88,0.418,16.44,20.0
sample_052,2.7084,1.8176,0.9171,149,1.8294,4.909,14.1258,13.1638,4.3255,6.7356,0.881,7.196,0.477,4.13,20.0
sample_053,1.5192,2.4508,1.8009,96,2.4618,7.2417,21.5469,14.4808,5.9291,10.0072,0.819,5.882,0.464,4.0,20.0
sample_054,0.6481,1.1503,1.9102,133,1.1666,4.6168,14.9424,4.099,6.4611,9.0271,1.399,3.514,0.604,15.25,20.0
sample_055,0.6215,2.0253,1.4405,118,2.0274,5.9161,17.5543,11.6803,7.385,12.3117,1.248,5.761,0.701,7.7,20.0
sample_056,1.9468,1.4115,1.1367,160,1.4209,4.2888,12.872,9.9948,4.5704,6.9217,1.066,7.034,0.538,8.06,20.0
sample_057,1.267,1.4969,1.5513,134,1.5026,4.927,15.1755,3.7258,2.4736,5.87,0.502,2.48,0.387,15.01,20.0
sample_058,2.1775,2.1327,2.9874,79,2.1926,8.001,25.3846,4.5972,10.6675,19.3465,1.333,2.097,0.762,13.23,20.0
sample_059,1.1635,2.5944,2.3334,83,2.597,8.1255,24.6713,12.3907,6.4089,20.8154,0.789,4.771,0.844,6.45,20.0
sample_060,0.9946,1.7418,2.0167,108,1.7723,6.0211,18.7369,9.2481,4.4972,16.4722,0.747,5.218,0.879,9.76,20.0
sample_061,1.4317,1.9687,1.6252,113,1.9962,6.057,18.2101,9.2249,3.4398,17.9066,0.568,4.621,0.983,9.34,20.0
sample_062,1.1079,2.3499,1.2774,112,2.3764,6.4734,18.7351,14.8921,8.1874,15.4093,1.265,6.267,0.822,4.0,20.0
sample_063,2.8305,2.7167,1.1206,106,2.7399,7.0689,20.0246,8.937,9.9091,10.9967,1.402,3.262,0.549,8.23,20.0
sample_064,2.4597,2.9905,2.6913,72,2.9923,9.3655,28.4391,13.5403,13.9852,8.8549,1.493,4.525,0.311,4.0,20.0
sample_065,2.9286,1.1249,2.4046,115,1.1538,5.144,17.0857,4.5349,3.2786,15.7522,0.637,3.93,0.922,12.54,20.0
sample_066,1.8337,2.8706,2.6045,74,2.9255,9.1264,27.6845,8.8289,6.6305,25.6516,0.727,3.018,0.927,9.34,20.0
sample_067,0.6132,2.8999,1.0614,103,2.9116,7.3666,20.6996,15.3868,7.7272,8.0681,1.049,5.285,0.39,4.0,20.0
sample_068,2.6628,1.1719,2.22,120,1.1902,5.0141,16.4583,6.8042,4.5286,5.4588,0.903,5.717,0.332,10.53,20.0
sample_069,2.1278,1.3286,2.3988,109,1.3555,5.5653,18.1644,9.9412,7.666,15.2444,1.377,7.334,0.839,7.93,20.0
sample_070,2.8369,0.8062,1.4259,183,0.8103,3.3177,10.8221,4.2277,4.3256,7.4348,1.304,5.218,0.687,12.94,20.0
sample_071,2.5412,1.9651,1.0056,137,1.9814,5.3308,15.3549,12.4717,6.5343,10.3441,1.226,6.294,0.674,4.99,20.0
sample_072,2.2676,1.5461,2.2864,106,1.5742,5.9031,18.8588,7.4933,4.0538,14.3259,0.687,4.76,0.76,10.24,20.0
sample_073,0.8054,0.9982,2.1057,131,1.0181,4.5209,15.0041,2.4942,4.4309,6.2812,0.98,2.45,0.419,16.7,20.0
sample_074,0.9417,2.2671,2.4572,86,2.3012,7.6369,23.6055,5.1123,6.3059,13.4727,0.826,2.222,0.571,13.95,20.0
