sample_id,a_min_nominal_mm,a_throat_actual_mm,b_rib_mm,N_channels,tw_inner_mm,a1_chamber_mm,a2_exit_mm,h_min_throat_mm,h1_chamber_mm,h2_exit_mm,AR_chamber,AR_throat,AR_exit,t_jacket_mm,t_total_mm,T_in_K,P_in_bar,Tc_out_K,Pc_exit_bar,Delta_P_bar,Twg_max_K,Twc_max_K,status,Material,Power
sample_001,3.0,3.0179,3.0,68,3.0,9.766,29.9616,13.0,14.649,29.9616,1.5,4.308,1.0,4.0,20.0,30.0,55.0,200.89,54.92,0.08,1063.6,918.2,SUCCESS,fail,fail
sample_002,3.0,3.0179,3.0,68,0.5,9.766,29.9616,15.5,14.649,29.9616,1.5,5.136,1.0,4.0,20.0,30.0,55.0,202.57,54.93,0.07,1020.2,996.71,SUCCESS,fail,fail
sample_003,3.0,3.0245,0.8,107,0.5,7.313,20.1476,6.049,3.6565,6.0443,0.5,2.0,0.3,13.45,20.0,30.0,55.0,233.84,54.5,0.5,832.25,800.89,SUCCESS,fail,pass
sample_004,0.8,0.8245,3.0,107,3.0,5.113,17.9476,6.5959,7.6694,17.9476,1.5,8.0,1.0,10.4,20.0,30.0,55.0,235.58,50.78,4.22,601.22,490.41,SUCCESS,pass,pass
sample_005,3.0,3.0245,0.8,107,3.0,7.313,20.1476,13.0,10.9694,20.1476,1.5,4.298,1.0,4.0,20.0,30.0,55.0,209.51,54.93,0.07,1177.21,1023.55,SUCCESS,fail,fail
sample_006,2.7611,2.7942,1.3815,98,0.9026,7.4765,21.4898,15.0974,9.8128,20.0593,1.312,5.403,0.933,4.0,20.0,30.0,55.0,213.9,54.92,0.08,1050.27,1000.3,SUCCESS,fail,pass
sample_007,1.5028,1.508,2.0198,116,1.3573,5.4637,17.3025,4.5733,4.8652,15.1151,0.89,3.033,0.874,14.07,20.0,30.0,55.0,240.02,53.27,1.73,554.4,472.07,SUCCESS,pass,pass
sample_008,1.6098,1.6458,2.6169,96,1.0609,6.4256,20.7309,12.1584,7.9393,6.8092,1.236,7.388,0.328,6.78,20.0,30.0,55.0,231.27,54.58,0.42,718.57,658.46,SUCCESS,fail,pass
sample_009,2.8098,2.8588,1.9556,85,1.5884,8.2572,24.4137,13.9226,5.3017,22.3583,0.642,4.87,0.916,4.49,20.0,30.0,55.0,214.68,54.85,0.15,1022.04,932.93,SUCCESS,fail,pass
sample_010,2.5961,2.6528,2.5272,79,0.5695,8.4613,25.8449,6.4473,7.8819,14.0392,0.932,2.43,0.543,12.98,20.0,30.0,55.0,225.05,54.63,0.37,731.88,699.37,SUCCESS,fail,pass
sample_011,2.1473,2.1592,0.8062,138,2.9493,5.4843,15.4358,9.777,6.5436,6.9931,1.193,4.528,0.453,7.27,20.0,30.0,55.0,228.67,54.76,0.24,926.12,751.11,SUCCESS,fail,pass
sample_012,2.2347,2.2806,2.9658,78,0.7861,8.1635,25.77,14.3975,6.0529,12.378,0.741,6.313,0.48,4.82,20.0,30.0,55.0,220.77,54.79,0.21,862.66,814.23,SUCCESS,fail,pass
sample_013,1.8424,1.8523,1.0093,143,2.5041,5.0612,14.6647,11.0308,3.3014,10.2711,0.652,5.955,0.7,6.47,20.0,30.0,55.0,232.94,54.48,0.52,859.04,704.87,SUCCESS,fail,pass
sample_014,1.1564,1.1671,1.3282,164,2.121,3.965,12.3388,7.7147,5.6068,8.0802,1.414,6.61,0.655,10.16,20.0,30.0,55.0,242.11,53.83,1.17,627.29,485.37,SUCCESS,pass,pass
sample_015,2.5063,2.5266,1.063,114,2.3237,6.5518,18.5983,13.6763,6.915,18.4834,1.055,5.413,0.994,4.0,20.0,30.0,55.0,218.88,54.88,0.12,1042.36,913.45,SUCCESS,fail,pass
sample_016,1.4325,1.446,1.5853,135,2.7853,4.845,15.0176,7.6461,4.866,5.5225,1.004,5.288,0.368,9.57,20.0,30.0,55.0,238.62,54.07,0.93,701.84,519.45,SUCCESS,fail,pass
sample_017,0.9163,0.9262,1.7485,153,1.6981,3.9253,12.9011,3.8953,4.432,10.0089,1.129,4.206,0.776,14.41,20.0,30.0,55.0,247.66,49.42,5.58,483.64,411.4,SUCCESS,pass,pass
sample_018,2.9916,2.9928,1.5541,90,1.4849,8.0913,23.3503,14.5151,7.8813,18.5124,0.974,4.85,0.793,4.0,20.0,30.0,55.0,212.61,54.91,0.09,1078.19,997.47,SUCCESS,fail,pass
sample_019,2.4393,2.4626,1.1912,112,1.9953,6.5596,18.8213,5.4236,9.5456,7.1798,1.455,2.202,0.381,12.58,20.0,30.0,55.0,230.89,54.57,0.43,761.58,642.02,SUCCESS,fail,pass
sample_020,2.0535,2.0971,2.8333,83,0.7214,7.6256,24.1714,7.2157,6.1828,13.9092,0.811,3.441,0.575,12.06,20.0,30.0,55.0,229.29,54.44,0.56,677.74,635.99,SUCCESS,pass,pass
sample_021,1.3354,1.3557,2.3645,110,1.7867,5.5272,18.0118,3.5464,4.2876,10.9154,0.776,2.616,0.606,14.67,20.0,30.0,55.0,242.09,51.3,3.7,531.73,440.98,SUCCESS,pass,pass
